i,d
b,i,o,i,d
d,a,t,e,_,o,f,_,b,i,r,t,h
790,H000549,1900-03-17
791,H000623,1923-02-19
792,H000740,1902-02-22
793,H001021,1909-03-21
794,K000300,1912-08-22
795,L000108,1908-12-10
796,M000274,1924-05-28
797,M000354,1901-04-06
798,M000483,1922-09-16
799,M000935,1908-01-18
800,N000110,1915-12-01
801,P000119,1908-10-20
802,R000008,1911-09-22
803,R000359,1904-08-28
804,S000009,1908-06-13
805,S000315,1909-02-21
806,S000405,1911-08-23
807,T000139,1916-08-04
808,H000665,1912-12-30
809,A000200,1906-02-02
810,B000170,1918-01-17
811,B000245,1908-06-15
812,B000391,1918-08-30
813,B000646,1908-10-30
814,B000699,1901-04-05
815,B000727,1907-08-13
816,B000849,1906-08-16
817,B000908,1920-10-22
818,B001035,1910-11-21
819,B001127,1909-03-30
820,C000199,1915-10-08
821,C000589,1919-07-11
822,D000402,1903-11-13
823,D000433,1911-04-18
824,E000121,1921-06-03
825,E000181,1911-09-21
826,F000227,1910-10-07
827,F000237,1917-10-16
828,G000130,1904-09-24
829,H000048,1918-05-16
830,H000204,1921-07-22
831,H000216,1903-07-19
832,H000484,1917-01-04
833,H000690,1920-03-13
834,H000746,1924-07-06
835,J000008,1910-01-23
836,J000119,1917-10-12
837,K000015,1919-04-06
838,K000036,1900-05-18
839,L000018,1905-05-25
840,L000260,1914-10-03
841,M000449,1920-06-30
842,M000682,1914-12-29
843,M000759,1902-11-29
844,M000812,1924-08-17
845,P000439,1919-04-04
846,P000516,1908-07-05
847,P000549,1909-07-29
848,Q000012,1918-03-30
849,S000436,1900-08-30
850,T000070,1902-01-01
851,T000118,1911-06-22
852,T000229,1919-02-08
853,W000024,1921-03-16
854,W000120,1909-10-15
855,W000675,1925-10-29
856,N000052,1907-01-09
857,S000517,1916-03-26
858,A000054,1914-01-31
859,A000094,1911-08-07
860,A000105,1916-01-28
861,A000255,1905-03-10
862,B000222,1912-10-06
863,B000561,1912-04-25
864,B000791,1901-09-28
865,B001090,1920-06-01
866,C000540,1924-09-28
867,C000725,1920-05-19
868,D000425,1905-04-13
869,G000069,1923-06-16
870,H000264,1904-07-02
871,H000561,1911-08-22
872,H000753,1913-06-01
873,I000007,1913-01-30
874,J000176,1909-06-26
875,K000032,1900-05-07
876,K000044,1903-07-26
877,K000171,1900-03-29
878,K000249,1908-09-13
879,K000320,1907-10-18
880,M000020,1916-11-01
881,M000052,1911-03-07
882,M000152,1906-03-13
883,M000605,1926-07-19
884,M000608,1922-02-19
885,M000664,1906-11-15
886,M000719,1916-10-28
887,M001045,1904-08-31
888,M001100,1927-10-03
889,N000136,1901-03-30
890,P000264,1906-03-26
891,P000287,1906-03-12
892,R000547,1921-05-30
893,S000057,1912-06-04
894,S000120,1906-12-26
895,S000193,1917-07-19
896,S000224,1908-05-12
897,S000533,1918-02-21
898,U000002,1920-01-31
899,W000228,1919-04-09
900,W000256,1901-07-08
901,Z000003,1906-03-16
902,K000107,1917-05-29
903,B000656,1903-08-07
904,M000623,1912-07-02
905,A000011,1916-11-21
906,A000106,1918-06-12
907,A000228,1911-08-11
908,B000062,1902-01-12
909,B000064,1901-11-17
910,B000190,1915-05-15
911,B000310,1912-08-13
912,B000377,1904-01-10
913,B000608,1917-02-22
914,B000813,1923-11-23
915,B000867,1920-03-26
916,B000969,1921-04-27
917,C000444,1901-10-21
918,D000266,1918-04-06
919,E000055,1925-09-27
920,E000120,1913-12-20
921,F000135,1905-06-05
922,G000192,1922-04-21
923,G000237,1903-06-18
924,G000421,1910-03-05
925,H000191,1929-09-09
926,H000424,1909-12-24
927,H000471,1915-05-10
928,H000904,1920-03-19
929,J000109,1905-07-21
930,J000158,1901-06-16
931,K000177,1918-12-10
932,K000335,1910-08-15
933,L000081,1914-07-22
934,L000252,1914-12-28
935,L000299,1900-12-29
936,L000415,1908-07-18
937,M000197,1924-11-25
938,M000478,1908-05-04
939,M000558,1907-06-26
940,M000620,1907-09-13
941,M000762,1914-03-22
942,M000859,1902-03-02
943,M001014,1900-10-20
944,M001022,1907-08-19
945,N000133,1908-09-12
946,N000178,1906-03-24
947,O000120,1907-12-30
948,P000352,1904-08-10
949,R000018,1902-03-11
950,R000314,1912-11-01
